j1,j2,j3,j4,j5,j6
-0.000889363,0.039503254,-0.006547628,-0.028579804,-0.124189085,-0.034808875
-0.000890814,0.039503203,-0.006545407,-0.028581851,-0.124192054,-0.034809075
-0.000892266,0.039503151,-0.006543185,-0.028583897,-0.124195022,-0.034809276
-0.000893717,0.039503099,-0.006540962,-0.028585944,-0.124197991,-0.034809476
-0.000895169,0.039503046,-0.00653874,-0.02858799,-0.124200959,-0.034809677
-0.000896621,0.039502994,-0.006536517,-0.028590036,-0.124203927,-0.034809878
-0.000898073,0.039502941,-0.006534295,-0.028592082,-0.124206894,-0.034810079
-0.000899525,0.039502888,-0.006532072,-0.028594128,-0.124209862,-0.03481028
-0.000900977,0.039502834,-0.006529848,-0.028596173,-0.124212829,-0.034810482
-0.000902429,0.039502781,-0.006527625,-0.028598219,-0.124215797,-0.034810683
-0.000903881,0.039502727,-0.006525401,-0.028600265,-0.124218764,-0.034810885
-0.000905333,0.039502673,-0.006523177,-0.02860231,-0.124221731,-0.034811087
-0.000906786,0.039502619,-0.006520953,-0.028604355,-0.124224698,-0.034811289
-0.000908238,0.039502564,-0.006518729,-0.0286064,-0.124227664,-0.034811491
-0.000909691,0.039502509,-0.006516504,-0.028608445,-0.124230631,-0.034811693
-0.000911143,0.039502454,-0.00651428,-0.02861049,-0.124233597,-0.034811895
-0.000912596,0.039502399,-0.006512055,-0.028612534,-0.124236563,-0.034812097
-0.000914049,0.039502343,-0.00650983,-0.028614579,-0.124239529,-0.0348123
-0.000915501,0.039502287,-0.006507604,-0.028616623,-0.124242495,-0.034812503
-0.000916954,0.039502231,-0.006505379,-0.028618668,-0.124245461,-0.034812705
-0.000918407,0.039502175,-0.006503153,-0.028620712,-0.124248426,-0.034812908
-0.00091986,0.039502118,-0.006500927,-0.028622756,-0.124251392,-0.034813111
-0.000921314,0.039502061,-0.006498701,-0.0286248,-0.124254357,-0.034813315
-0.000922767,0.039502004,-0.006496474,-0.028626844,-0.124257322,-0.034813518
-0.00092422,0.039501947,-0.006494248,-0.028628887,-0.124260287,-0.034813721
-0.000925673,0.039501889,-0.006492021,-0.028630931,-0.124263251,-0.034813925
-0.000927127,0.039501831,-0.006489794,-0.028632974,-0.124266216,-0.034814129
-0.00092858,0.039501773,-0.006487567,-0.028635017,-0.12426918,-0.034814332
